"satpdbid","id"
"satpdb10397","ahtpdb_1397"
"satpdb10398","ahtpdb_1398"
"satpdb10399","ahtpdb_1399"
"satpdb10400","ahtpdb_1400"
"satpdb10401","ahtpdb_1401"
"satpdb10402","ahtpdb_1402"
"satpdb10403","ahtpdb_1403"
"satpdb10404","ahtpdb_1404"
"satpdb10405","ahtpdb_1405"
"satpdb10406","ahtpdb_1406"
"satpdb10407","ahtpdb_1407"
"satpdb10408","ahtpdb_1408"
"satpdb10409","ahtpdb_1409"
"satpdb10410","ahtpdb_1410"
"satpdb10411","ahtpdb_1411"
"satpdb10412","ahtpdb_1412"
"satpdb10413","ahtpdb_1413"
"satpdb10414","ahtpdb_1414"
"satpdb10415","ahtpdb_1415"
"satpdb10416","ahtpdb_1416"
"satpdb10417","ahtpdb_1417"
"satpdb10418","ahtpdb_1418"
"satpdb10419","ahtpdb_1419"
"satpdb10420","ahtpdb_1420"
"satpdb10421","ahtpdb_1421"
"satpdb10422","ahtpdb_1422"
"satpdb10423","ahtpdb_1423"
"satpdb10424","ahtpdb_1424"
"satpdb10425","ahtpdb_1425"
"satpdb10426","ahtpdb_1426"
"satpdb10427","ahtpdb_1427"
"satpdb10428","ahtpdb_1428"
"satpdb10429","ahtpdb_1429"
"satpdb10430","ahtpdb_1430"
"satpdb10431","ahtpdb_1431"
"satpdb10432","ahtpdb_1432"
"satpdb10433","ahtpdb_1433"
"satpdb10434","ahtpdb_1434"
"satpdb10435","ahtpdb_1435"
"satpdb10436","ahtpdb_1436"
"satpdb10437","ahtpdb_1437"
"satpdb10438","ahtpdb_1438"
"satpdb10439","ahtpdb_1439"
"satpdb10440","ahtpdb_1440"
"satpdb10441","ahtpdb_1441"
"satpdb10442","ahtpdb_1442"
"satpdb10443","ahtpdb_1443"
"satpdb10444","ahtpdb_1444"
"satpdb10445","ahtpdb_1445"
"satpdb10446","ahtpdb_1446"
"satpdb10447","ahtpdb_1447"
"satpdb10448","ahtpdb_1448"
"satpdb10449","ahtpdb_1449"
"satpdb10450","ahtpdb_1450"
"satpdb10451","ahtpdb_1451"
"satpdb10452","ahtpdb_1452"
"satpdb10453","ahtpdb_1453"
"satpdb10454","ahtpdb_1454"
"satpdb10455","ahtpdb_1455"
"satpdb10456","ahtpdb_1456"
"satpdb10457","ahtpdb_1457"
"satpdb10458","ahtpdb_1458"
"satpdb10459","ahtpdb_1459"
"satpdb10460","ahtpdb_1460"
"satpdb10461","ahtpdb_1461"
"satpdb10462","ahtpdb_1462"
"satpdb10463","ahtpdb_1463"
"satpdb10464","ahtpdb_1464"
"satpdb10465","ahtpdb_1465"
"satpdb10466","ahtpdb_1466"
"satpdb10467","ahtpdb_1467"
"satpdb10468","ahtpdb_1468"
"satpdb10469","ahtpdb_1469"
"satpdb10470","ahtpdb_1470"
"satpdb10471","ahtpdb_1471"
"satpdb10472","ahtpdb_1472"
"satpdb10473","ahtpdb_1473"
"satpdb10474","ahtpdb_1474"
"satpdb10475","ahtpdb_1475"
"satpdb10476","ahtpdb_1476"
"satpdb10477","ahtpdb_1477"
"satpdb10478","ahtpdb_1478"
"satpdb10479","ahtpdb_1479"
"satpdb10480","ahtpdb_1480"
"satpdb10481","ahtpdb_1481"
"satpdb10482","ahtpdb_1482"
"satpdb10483","ahtpdb_1483"
"satpdb10484","ahtpdb_1484"
"satpdb10485","ahtpdb_1485"
"satpdb10486","ahtpdb_1486"
"satpdb10487","ahtpdb_1487"
"satpdb10488","ahtpdb_1488"
"satpdb10489","ahtpdb_1489"
"satpdb10490","ahtpdb_1490"
"satpdb10491","ahtpdb_1491"
"satpdb10492","ahtpdb_1492"
"satpdb10493","ahtpdb_1493"
"satpdb10494","ahtpdb_1494"
"satpdb10495","ahtpdb_1495"
"satpdb10496","ahtpdb_1496"
"satpdb10497","ahtpdb_1497"
"satpdb10498","ahtpdb_1498"
"satpdb10499","ahtpdb_1499"
"satpdb10500","ahtpdb_1500"
"satpdb10501","ahtpdb_1501"
"satpdb10502","ahtpdb_1502"
"satpdb10503","ahtpdb_1503"
"satpdb10504","ahtpdb_1504"
"satpdb10505","ahtpdb_1505"
"satpdb10506","ahtpdb_1506"
"satpdb10507","ahtpdb_1507"
"satpdb10508","ahtpdb_1508"
"satpdb10509","ahtpdb_1509"
"satpdb10510","ahtpdb_1510"
"satpdb10511","ahtpdb_1511"
"satpdb10512","ahtpdb_1512"
"satpdb10513","ahtpdb_1513"
"satpdb10514","ahtpdb_1514"
"satpdb10515","ahtpdb_1515"
"satpdb10516","ahtpdb_1516"
"satpdb10517","ahtpdb_1517"
"satpdb10518","ahtpdb_1518"
"satpdb10519","ahtpdb_1519"
"satpdb10520","ahtpdb_1520"
"satpdb10521","ahtpdb_1521"
"satpdb10522","ahtpdb_1522"
"satpdb10523","ahtpdb_1523"
"satpdb10524","ahtpdb_1524"
"satpdb10525","ahtpdb_1525"
"satpdb10526","ahtpdb_1526"
"satpdb10527","ahtpdb_1527"
"satpdb10528","ahtpdb_1528"
"satpdb10529","ahtpdb_1529"
"satpdb10530","ahtpdb_1530"
"satpdb10531","ahtpdb_1531"
"satpdb10532","ahtpdb_1532"
"satpdb10533","ahtpdb_1533"
"satpdb10534","ahtpdb_1534"
"satpdb10535","ahtpdb_1535"
"satpdb10536","ahtpdb_1536"
"satpdb10537","ahtpdb_1537"
"satpdb10538","ahtpdb_1538"
"satpdb10539","ahtpdb_1539"
"satpdb10540","ahtpdb_1540"
"satpdb10541","ahtpdb_1541"
"satpdb10542","ahtpdb_1542"
"satpdb10543","ahtpdb_1543"
"satpdb10544","ahtpdb_1544"
"satpdb10545","ahtpdb_1545"
"satpdb10546","ahtpdb_1546"
"satpdb10547","ahtpdb_1547"
"satpdb10548","ahtpdb_1548"
"satpdb10549","ahtpdb_1549"
"satpdb10550","ahtpdb_1550"
"satpdb10551","ahtpdb_1551"
"satpdb10552","ahtpdb_1552"
"satpdb10553","ahtpdb_1553"
"satpdb10554","ahtpdb_1554"
"satpdb10555","ahtpdb_1555"
"satpdb10556","ahtpdb_1556"
"satpdb10557","ahtpdb_1557"
"satpdb10558","ahtpdb_1558"
"satpdb10559","ahtpdb_1559"
"satpdb10560","ahtpdb_1560"
"satpdb10561","ahtpdb_1561"
"satpdb10562","ahtpdb_1562"
"satpdb10563","ahtpdb_1563"
"satpdb10564","ahtpdb_1564"
"satpdb10565","ahtpdb_1565"
